




LiCSAlert is being run for alignsar_campi_flegrei at 10/11/2025 16:53:41
All the required arguments were found in the dictionary.  
All the required arguments were found in the dictionary.  
LiCSAlert is opening a an AlignSAR data cube.  
The cumulative time series was size (167, 225, 225) and has been downsampled in space to (167, 112, 112) 

As the baseline_end date did not lie on an acquisition date, it has been updated so that it does.  Previously, it was 20220101, but it is now 20211229
Epoch #    LiCSBAS date    Past baseline    LiCSAlert      
0            20200601          no              not requested
1            20200607          no              not requested
2            20200613          no              not requested
3            20200619          no              not requested
4            20200625          no              not requested
5            20200701          no              not requested
6            20200707          no              not requested
7            20200713          no              not requested
8            20200719          no              not requested
9            20200725          no              not requested
10            20200731          no              not requested
11            20200806          no              not requested
12            20200812          no              not requested
13            20200818          no              not requested
14            20200824          no              not requested
15            20200830          no              not requested
16            20200905          no              not requested
17            20200911          no              not requested
18            20200917          no              not requested
19            20200923          no              not requested
20            20200929          no              not requested
21            20201005          no              not requested
22            20201011          no              not requested
23            20201017          no              not requested
24            20201023          no              not requested
25            20201029          no              not requested
26            20201104          no              not requested
27            20201110          no              not requested
28            20201116          no              not requested
29            20201122          no              not requested
30            20201128          no              not requested
31            20201204          no              not requested
32            20201210          no              not requested
33            20201216          no              not requested
34            20201222          no              not requested
35            20201228          no              not requested
36            20210103          no              not requested
37            20210109          no              not requested
38            20210115          no              not requested
39            20210121          no              not requested
40            20210127          no              not requested
41            20210202          no              not requested
42            20210208          no              not requested
43            20210214          no              not requested
44            20210220          no              not requested
45            20210226          no              not requested
46            20210304          no              not requested
47            20210310          no              not requested
48            20210316          no              not requested
49            20210322          no              not requested
50            20210403          no              not requested
51            20210409          no              not requested
52            20210415          no              not requested
53            20210421          no              not requested
54            20210427          no              not requested
55            20210503          no              not requested
56            20210509          no              not requested
57            20210515          no              not requested
58            20210521          no              not requested
59            20210527          no              not requested
60            20210602          no              not requested
61            20210608          no              not requested
62            20210614          no              not requested
63            20210620          no              not requested
64            20210626          no              not requested
65            20210702          no              not requested
66            20210708          no              not requested
67            20210714          no              not requested
68            20210720          no              not requested
69            20210726          no              not requested
70            20210807          no              not requested
71            20210813          no              not requested
72            20210819          no              not requested
73            20210825          no              not requested
74            20210831          no              not requested
75            20210906          no              not requested
76            20210912          no              not requested
77            20210918          no              not requested
78            20210924          no              not requested
79            20210930          no              not requested
80            20211006          no              not requested
81            20211012          no              not requested
82            20211018          no              not requested
83            20211024          no              not requested
84            20211030          no              not requested
85            20211105          no              not requested
86            20211111          no              not requested
87            20211117          no              not requested
88            20211123          no              not requested
89            20211129          no              not requested
90            20211205          no              not requested
91            20211211          no              not requested
92            20211217          no              not requested
93            20211223          no              not requested
94            20211229          no              not requested
95            20220110          yes             not requested
96            20220122          yes             not requested
97            20220203          yes             not requested
98            20220215          yes             not requested
99            20220227          yes             not requested
100            20220311          yes             not requested
101            20220323          yes             not requested
102            20220404          yes             not requested
103            20220416          yes             not requested
104            20220428          yes             not requested
105            20220510          yes             not requested
106            20220522          yes             not requested
107            20220603          yes             not requested
108            20220615          yes             not requested
109            20220627          yes             not requested
110            20220709          yes             not requested
111            20220721          yes             not requested
112            20220802          yes             not requested
113            20220814          yes             not requested
114            20220826          yes             not requested
115            20220907          yes             not requested
116            20220919          yes             not requested
117            20221001          yes             not requested
118            20221013          yes             not requested
119            20221025          yes             not requested
120            20221106          yes             not requested
121            20221118          yes             not requested
122            20221130          yes             not requested
123            20221212          yes             not requested
124            20221224          yes             not requested
125            20230105          yes             not requested
126            20230117          yes             not requested
127            20230129          yes             not requested
128            20230210          yes             not requested
129            20230222          yes             not requested
130            20230318          yes             not requested
131            20230330          yes             not requested
132            20230411          yes             not requested
133            20230505          yes             not requested
134            20230517          yes             not requested
135            20230529          yes             not requested
136            20230610          yes             not requested
